‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       105	-0.00725545	-0.00210154	0.00595144	0.00401872	
       106	-0.00145731	0.00208601	0.00273024	-0.00113519	
       107	0.00240812	0.00208601	-0.00049095	0.00337448	
       108	0.00756203	-0.00274578	0.00273024	-0.00306790	
       109	0.00595144	-0.00081307	0.00401872	-0.00532274	
       110	0.00305236	0.00498508	0.00723991	-0.00210154	
       111	0.00885051	0.00015329	0.01013899	-0.00628909	
       112	0.00723991	0.00015329	0.00627356	-0.00628909	
       113	0.00369660	0.00723991	-0.00435638	0.00111965	
       114	0.00917263	0.00240812	0.00401872	0.00369660	
       115	0.01013899	-0.00145731	-0.00210154	-0.00145731	
       116	0.00595144	-0.00113519	-0.00274578	-0.00274578	
       117	-0.00016883	0.00176389	-0.00306790	-0.00081307	
       118	-0.00306790	-0.00371214	-0.00016883	-0.00371214	
       119	-0.01079876	-0.00789969	0.00208601	-0.00532274	
       120	-0.02046234	-0.00081307	0.00111965	-0.00049095	
       121	-0.00757757	-0.00177943	-0.00274578	0.00208601	
       122	-0.00177943	-0.00596698	0.00047541	-0.00016883	
       123	-0.00177943	-0.00242366	-0.00145731	0.00369660	
       124	-0.00403426	0.00111965	-0.00628909	0.00595144	
       125	-0.00016883	-0.00113519	-0.00049095	0.00079753	
       126	0.00530720	-0.00339002	0.00691779	-0.00145731	
       127	0.00079753	0.00176389	-0.00081307	-0.00016883	
       128	0.00047541	0.00401872	-0.00951029	0.00273024	
       129	0.00562932	-0.00016883	-0.00628909	0.00530720	
       130	0.00144177	-0.00113519	0.00240812	0.00401872	
       131	-0.00822181	0.00337448	-0.00306790	0.00047541	
       132	-0.00661121	-0.00242366	-0.00081307	-0.01659691	
       133	-0.00435638	-0.00145731	-0.00435638	-0.01144300	
       134	-0.00081307	0.00208601	-0.00693333	-0.00500062	
       135	0.00176389	-0.00113519	-0.00596698	-0.00339002	
       136	-0.00177943	0.00176389	-0.00532274	-0.00016883	
       137	-0.00145731	0.00273024	-0.00725545	0.00176389	
