‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
         0	0.00691779	-0.00306790	0.00015329	-0.00564486	
         0	0.00852839	0.00015329	0.00079753	-0.00661121	
         1	0.00530720	-0.00339002	0.00079753	-0.00339002	
         2	0.00208601	-0.00500062	0.00176389	0.00562932	
         3	-0.00274578	-0.00306790	-0.00081307	0.00047541	
         4	0.00047541	-0.00532274	0.00401872	0.00466296	
         6	0.00240812	-0.00371214	0.00337448	0.00337448	
         7	-0.00016883	0.00401872	-0.00403426	0.00337448	
         8	0.00273024	0.00208601	-0.00242366	-0.00339002	
         9	0.00176389	-0.00113519	0.00337448	-0.00306790	
        10	-0.00049095	0.00015329	0.00111965	0.00111965	
        11	0.00047541	-0.00339002	0.00079753	-0.00854393	
        12	-0.00081307	0.00369660	-0.00113519	-0.01176512	
        13	-0.00242366	0.00659567	-0.00500062	-0.00532274	
        14	-0.00564486	0.00079753	-0.00177943	-0.00016883	
        15	-0.00661121	0.00498508	-0.00113519	0.00466296	
        16	-0.00145731	0.00305236	0.00273024	0.00208601	
        17	-0.00242366	0.00208601	-0.00081307	0.00015329	
        18	-0.00500062	0.00273024	-0.00403426	-0.00145731	
        19	-0.01112088	0.00176389	0.00015329	-0.00725545	
        20	-0.00854393	0.00047541	-0.00177943	0.00369660	
        21	-0.00467850	-0.00177943	-0.00016883	0.01625925	
        22	-0.00757757	-0.00274578	0.00305236	-0.00210154	
        23	-0.00628909	-0.00854393	0.00240812	0.00015329	
        24	-0.00403426	-0.00725545	0.00273024	0.00176389	
        25	-0.00210154	-0.00628909	0.00240812	0.00176389	
        26	-0.00596698	-0.00081307	0.00047541	0.00079753	
        27	0.00627356	-0.00661121	0.00273024	-0.00016883	
        28	0.01497078	-0.00564486	0.00305236	-0.00016883	
        29	0.01142746	0.00369660	0.00208601	-0.00049095	
        30	0.01303806	0.00208601	0.00015329	-0.00081307	
        31	0.00434084	0.00015329	0.00111965	0.00047541	
        32	0.00949475	0.00369660	0.00015329	0.00466296	
        33	0.00723991	0.00917263	-0.00081307	0.00498508	
        34	0.00111965	0.00595144	-0.00210154	0.00176389	
        35	-0.00145731	0.00530720	-0.00242366	-0.00049095	
        36	0.00176389	0.00369660	-0.00242366	0.00144177	
        37	-0.00306790	0.00369660	-0.00532274	0.00530720	
        38	-0.00242366	0.00079753	-0.00274578	-0.00081307	
        39	-0.00210154	0.00015329	-0.00564486	0.00111965	
        40	-0.00403426	0.00176389	-0.00789969	-0.00016883	
        41	-0.00306790	-0.00049095	-0.00049095	0.00015329	
        42	0.00305236	-0.00306790	0.00273024	0.00208601	
        43	0.00852839	-0.00306790	-0.00113519	0.00401872	
        44	0.00820627	-0.00306790	-0.00274578	-0.00403426	
        45	0.00466296	-0.00113519	-0.00371214	-0.00951029	
        46	-0.00274578	-0.00113519	-0.00467850	-0.00274578	
        47	-0.00339002	-0.00177943	-0.00467850	0.01464866	
        48	-0.00918817	-0.00210154	0.00337448	0.01046111	
        49	-0.01337572	0.00273024	0.00015329	0.00627356	
        50	-0.00757757	0.00208601	0.00111965	-0.00016883	
        51	-0.01337572	0.00466296	-0.00210154	0.00981687	
        52	-0.00274578	-0.00049095	-0.00306790	0.00369660	
        52	-0.00306790	0.00079753	0.00079753	-0.00435638	
        54	0.00208601	-0.00145731	0.00434084	-0.01369784	
        55	0.00369660	-0.00177943	0.00176389	-0.00757757	
        56	0.00659567	-0.00242366	-0.00016883	-0.00661121	
        57	0.00466296	-0.00274578	-0.00145731	-0.01852963	
        58	0.00273024	-0.00339002	0.00208601	-0.01434208	
        59	-0.00113519	-0.00403426	0.00079753	-0.00306790	
        59	-0.00789969	-0.00210154	-0.00177943	-0.00081307	
        61	-0.02110658	-0.00145731	-0.00274578	0.00144177	
        62	-0.01627479	-0.00274578	0.00273024	-0.00596698	
        62	-0.00596698	0.00337448	-0.00274578	-0.00113519	
        63	-0.00403426	0.00047541	-0.00177943	0.00079753	
        64	0.00079753	-0.00532274	-0.00081307	-0.00081307	
        65	0.00788415	-0.00693333	0.00659567	0.00273024	
        66	0.00595144	-0.00210154	0.00466296	-0.00177943	
