‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       105	0.00273024	0.00208601	-0.00145731	-0.00210154	
       106	-0.00403426	0.00434084	-0.00789969	0.00434084	
       107	0.01110534	0.00047541	0.00530720	0.00659567	
       108	0.00723991	-0.00274578	0.00337448	0.00627356	
       109	0.00562932	-0.00339002	-0.00016883	0.00176389	
       110	0.00369660	-0.00500062	0.00015329	-0.00435638	
       111	0.00111965	0.00015329	-0.00371214	-0.00467850	
       112	-0.00081307	-0.00306790	-0.00016883	-0.00242366	
       113	-0.00693333	0.00015329	-0.00435638	0.00981687	
       114	-0.00918817	-0.00145731	-0.00403426	0.00530720	
       115	-0.00693333	-0.00177943	-0.00274578	-0.00693333	
       116	-0.00016883	-0.00113519	-0.00532274	-0.00403426	
       117	0.00015329	0.00208601	-0.00145731	-0.00145731	
       118	0.00240812	-0.00016883	0.00240812	-0.00113519	
       119	0.00691779	0.00144177	0.00401872	-0.00016883	
       120	0.00562932	0.00144177	0.00176389	-0.00145731	
       121	0.00659567	0.00208601	0.00401872	-0.00435638	
       122	0.00595144	0.00047541	0.00659567	-0.00596698	
       123	0.01271594	-0.00274578	0.00788415	-0.00983241	
       124	-0.00049095	0.00305236	0.00917263	0.00530720	
       125	0.00949475	0.00176389	-0.00210154	0.00691779	
       126	0.00691779	0.00047541	-0.00177943	-0.00145731	
       127	0.00337448	-0.00016883	-0.00467850	-0.00242366	
       128	0.01013899	-0.00049095	0.00208601	0.00240812	
       129	0.00788415	-0.00371214	0.00305236	0.00401872	
       130	0.00820627	-0.00532274	0.00434084	0.00530720	
       131	0.00176389	-0.00532274	0.00627356	-0.00049095	
       132	-0.00822181	-0.00403426	0.00047541	-0.00113519	
       133	-0.01337572	-0.00242366	-0.00725545	-0.00177943	
       134	-0.02014022	-0.00306790	-0.00177943	-0.00210154	
       135	-0.01176512	-0.00339002	-0.00918817	0.00176389	
       136	-0.01176512	-0.00435638	-0.00274578	0.00273024	
       137	-0.01176512	-0.00306790	0.00305236	0.00401872	
       138	-0.01015453	-0.00049095	-0.00274578	0.00144177	
       139	-0.00757757	0.00111965	-0.00306790	-0.00049095	
       140	-0.00435638	0.00369660	-0.00789969	-0.00081307	
       141	-0.00435638	0.00208601	-0.00467850	-0.00242366	
       142	-0.00049095	0.00111965	-0.00435638	-0.00371214	
       143	0.00917263	0.00047541	-0.00145731	-0.00596698	
       144	0.01078323	0.00047541	-0.00016883	-0.00371214	
       144	0.00047541	0.00756203	-0.00435638	0.00015329	
       145	-0.00596698	0.00401872	-0.00467850	0.00240812	
       146	-0.00177943	0.00176389	-0.00049095	0.00595144	
       147	0.00466296	-0.00274578	0.00111965	0.00047541	
       148	-0.00435638	-0.00081307	-0.00145731	-0.00403426	
       149	-0.01079876	-0.00177943	-0.00145731	-0.00467850	
       150	-0.00339002	-0.00016883	-0.00177943	0.00176389	
       151	0.00176389	-0.00113519	-0.00113519	0.00208601	
       152	-0.00177943	0.00079753	-0.00274578	0.00047541	
       153	0.00144177	-0.00403426	-0.00049095	-0.00822181	
       154	0.00079753	-0.00242366	0.00240812	-0.00661121	
       155	-0.00661121	0.00111965	-0.00500062	0.01658137	
       156	-0.00886605	0.00305236	-0.00693333	0.00498508	
       157	0.00691779	-0.00177943	0.00691779	0.00240812	
       158	0.01207170	-0.00210154	0.00369660	0.00079753	
       159	0.00691779	0.00079753	-0.00500062	0.00917263	
       160	0.01142746	-0.00081307	0.00305236	0.00176389	
       161	0.00852839	0.00208601	0.00240812	-0.00177943	
       162	0.00208601	0.00401872	0.00015329	-0.00210154	
       163	-0.00145731	0.00273024	-0.00210154	0.00176389	
       164	-0.01273148	0.00144177	-0.00371214	0.00176389	
       165	-0.00435638	-0.00113519	-0.00049095	-0.00532274	
       166	0.00047541	-0.00145731	-0.00016883	-0.00049095	
       167	-0.00339002	0.00176389	0.00208601	-0.00081307	
       168	-0.00500062	0.00047541	0.01142746	-0.00016883	
       169	-0.00757757	-0.00242366	0.00498508	-0.00145731	
       170	-0.00661121	0.00240812	-0.00210154	0.00369660	
       171	-0.00596698	-0.00210154	0.00530720	0.00015329	
       172	-0.00113519	0.00305236	-0.00596698	0.00337448	
       173	0.00176389	0.00047541	-0.00693333	0.00176389	
       174	0.00305236	-0.00339002	0.00337448	-0.00435638	
       175	-0.00242366	-0.00049095	-0.00210154	-0.00145731	
       176	-0.00113519	0.00208601	-0.00177943	0.00273024	
       177	0.00595144	-0.00274578	-0.00242366	-0.00145731	
       178	0.00047541	0.00111965	-0.00500062	0.00691779	
       179	-0.00435638	0.00723991	-0.00403426	0.00852839	
       180	0.00756203	-0.00403426	0.00176389	-0.00725545	
       181	0.00176389	0.00144177	0.00401872	-0.00693333	
       182	0.00240812	0.00401872	0.00015329	-0.00339002	
       183	0.00627356	-0.01820751	0.03204310	0.04428363	
       184	-0.00145731	-0.00371214	0.00498508	0.00949475	
       185	0.00401872	-0.00210154	0.00691779	0.00079753	
       186	-0.00210154	-0.00918817	-0.00951029	-0.00467850	
       187	0.00723991	0.00691779	0.00466296	0.00434084	
       188	-0.03205863	-0.02529413	-0.02754896	-0.02561625	
       189	-0.00016883	-0.00435638	-0.00983241	-0.00274578	
       190	0.00111965	-0.00854393	-0.00113519	0.00788415	
       191	-0.01595267	-0.00435638	0.00659567	0.01786985	
       192	-0.00757757	0.00176389	-0.00403426	0.00434084	
       193	0.01207170	0.00434084	0.00691779	-0.00339002	
       194	0.01046111	-0.00081307	0.00079753	-0.00951029	
       195	0.00305236	-0.00789969	0.00917263	-0.00467850	
       196	0.01464866	0.00337448	0.01336018	0.00337448	
       197	-0.00016883	0.00756203	-0.00016883	-0.00049095	
       198	-0.00242366	-0.00016883	-0.00532274	-0.00628909	
       199	-0.00210154	0.00111965	-0.01047664	-0.00339002	
       200	-0.00371214	0.00562932	-0.00274578	-0.00757757	
       201	-0.00467850	0.00434084	-0.00177943	-0.00500062	
       202	0.00047541	0.00981687	-0.00886605	0.00562932	
       203	0.00820627	0.01883621	0.00273024	0.02270164	
       204	0.02076892	0.00820627	0.01207170	0.00885051	
       205	0.00401872	-0.00596698	-0.00274578	-0.02239506	
       206	-0.01079876	-0.01273148	-0.00822181	-0.01337572	
       207	-0.00081307	-0.00274578	-0.00596698	0.01142746	
       208	-0.00467850	-0.00822181	-0.01079876	-0.00306790	
       209	0.00756203	-0.00145731	0.00595144	0.01174958	
       210	0.04718270	0.04557210	0.05137025	0.06296654	
       211	-0.03785678	-0.01595267	-0.03270287	-0.03173651	
       212	-0.01659691	-0.00532274	-0.00016883	0.00498508	
       213	0.00337448	0.00659567	0.00756203	-0.00274578	
       214	-0.00145731	0.00240812	-0.00822181	-0.00403426	
       215	0.01271594	0.00595144	0.00111965	-0.01273148	
       216	0.01013899	0.01013899	0.00659567	-0.00371214	
       217	0.00562932	0.00917263	0.00015329	0.00079753	
       218	0.01948044	0.00595144	0.00434084	0.00111965	
       219	0.01271594	0.00144177	0.00369660	-0.00886605	
       220	0.00595144	0.00208601	-0.00339002	-0.00757757	
       221	0.00595144	0.00756203	0.00466296	0.00144177	
       222	0.01174958	0.00176389	0.00723991	-0.00016883	
       223	0.01303806	0.00627356	0.00627356	0.00466296	
       224	0.01174958	0.00208601	0.00562932	-0.00177943	
       225	0.00595144	-0.00210154	0.00723991	-0.00081307	
       226	-0.01563055	-0.00951029	-0.01112088	-0.00951029	
       227	-0.00145731	0.00111965	0.00595144	-0.00016883	
       228	-0.00983241	-0.00210154	-0.01530843	-0.00145731	
       229	-0.00500062	-0.00113519	-0.00435638	-0.00532274	
       230	0.00562932	-0.00081307	0.00885051	0.00691779	
       231	-0.00854393	-0.00242366	-0.00435638	0.00498508	
       232	0.01915833	0.01078323	0.01013899	0.01110534	
       233	-0.00016883	-0.00177943	-0.00564486	-0.00210154	
       234	0.00047541	-0.00016883	0.00079753	-0.00016883	
       235	-0.00113519	-0.00049095	-0.00274578	0.00434084	
       236	-0.00467850	0.00240812	-0.00693333	0.00273024	
       237	-0.00661121	0.00401872	-0.00564486	0.00176389	
       238	-0.00564486	0.00111965	-0.00242366	0.00079753	
       239	-0.00274578	0.00273024	-0.00049095	0.00176389	
       240	-0.00467850	0.00562932	-0.00242366	0.00369660	
       241	-0.00049095	0.00337448	-0.00016883	-0.00306790	
       242	-0.00210154	0.00176389	-0.00371214	-0.00306790	
       243	-0.00145731	0.00240812	-0.00306790	-0.00081307	
       244	-0.00081307	0.00240812	-0.00693333	-0.00113519	
       245	-0.00016883	0.00047541	0.00144177	0.00047541	
       246	0.00240812	-0.00081307	0.01110534	-0.00274578	
       247	0.00466296	0.00047541	0.00498508	0.00466296	
       248	-0.00339002	0.00176389	-0.00886605	0.00176389	
       249	0.00530720	-0.00757757	-0.00049095	-0.00951029	
       250	0.00401872	-0.00596698	0.00208601	0.00111965	
       251	-0.00242366	-0.00339002	0.00273024	0.00144177	
       252	-0.00210154	-0.00467850	0.00111965	0.00273024	
       253	0.00079753	-0.00435638	0.00111965	0.00176389	
       254	0.00305236	-0.00500062	-0.00081307	-0.00145731	
       255	-0.00210154	-0.00339002	-0.00081307	0.00434084	
       256	-0.00500062	-0.00145731	-0.00306790	0.01046111	
       257	-0.00306790	-0.00242366	0.00015329	-0.00145731	
       258	-0.00113519	-0.00274578	-0.00177943	-0.00628909	
       259	-0.00435638	-0.00016883	-0.00371214	0.00723991	
       260	-0.00435638	0.00337448	-0.00532274	0.00208601	
       261	-0.00177943	0.00240812	-0.00306790	-0.00532274	
       262	0.00337448	-0.00081307	0.00240812	-0.00274578	
       263	0.00659567	-0.00113519	0.00144177	0.00047541	
       264	0.00337448	0.00079753	-0.00274578	0.00369660	
       265	0.00273024	-0.00081307	0.00079753	0.00305236	
       266	-0.00145731	0.00079753	-0.00177943	0.00401872	
       267	-0.00177943	0.00176389	-0.00145731	0.00144177	
       268	0.00079753	-0.00177943	0.00240812	-0.00371214	
       269	-0.00467850	-0.00177943	-0.00113519	-0.00467850	
       270	-0.01112088	-0.00113519	-0.00371214	-0.00177943	
       271	-0.00435638	-0.00274578	-0.00500062	0.00015329	
       272	-0.00371214	-0.00145731	-0.00339002	0.00240812	
       273	-0.00596698	-0.00242366	-0.00145731	0.00401872	
       274	-0.00886605	-0.00274578	-0.00339002	0.00466296	
       275	-0.02626049	-0.00210154	-0.00081307	-0.00113519	
       276	-0.01756327	-0.00145731	-0.00564486	0.00530720	
       277	-0.00757757	0.00369660	-0.00789969	0.00047541	
       278	0.00047541	0.00015329	-0.00210154	-0.00435638	
       279	0.00788415	-0.00081307	0.00047541	0.00498508	
       280	0.01046111	-0.00113519	0.00949475	-0.00177943	
       281	0.00949475	0.00111965	0.00240812	0.00949475	
       282	0.00434084	-0.00371214	0.01046111	-0.00306790	
       283	-0.00145731	-0.00049095	0.00627356	-0.00467850	
       284	0.00627356	-0.00371214	0.00820627	-0.00306790	
       285	0.00369660	-0.00177943	0.00530720	-0.00306790	
       286	0.00627356	-0.00274578	0.00305236	-0.00242366	
       287	0.00595144	-0.00113519	-0.00306790	-0.00757757	
       288	0.00208601	-0.00339002	0.00240812	-0.00081307	
       289	0.00530720	-0.00274578	0.00176389	0.00369660	
       290	0.00144177	-0.00145731	-0.00145731	0.00530720	
       291	0.00305236	-0.00339002	0.00659567	0.00885051	
       292	-0.00081307	-0.00306790	-0.00016883	-0.00500062	
       293	-0.00145731	-0.00016883	-0.00435638	0.00144177	
       294	0.00337448	-0.00016883	0.00015329	0.01046111	
       295	0.00627356	-0.00435638	0.00273024	0.00305236	
       296	0.00627356	-0.00339002	0.00176389	-0.00371214	
       297	0.00079753	-0.00049095	-0.00306790	-0.00403426	
       298	-0.00532274	0.00208601	-0.00049095	0.00627356	
       299	-0.00371214	-0.00081307	0.00015329	0.00562932	
       300	-0.01305360	0.00079753	-0.00339002	-0.00467850	
       301	-0.01079876	0.00047541	-0.00113519	-0.01820751	
       302	-0.00145731	-0.00049095	0.00079753	-0.01144300	
       303	-0.00145731	0.00627356	-0.00564486	-0.01305360	
       304	0.00691779	0.00820627	-0.00661121	-0.00049095	
       305	0.00337448	0.00144177	-0.00274578	0.00949475	
       306	0.00047541	0.00144177	-0.00242366	0.00917263	
       307	0.00369660	0.00562932	-0.00693333	0.00659567	
       308	0.00273024	0.00595144	-0.00500062	0.00144177	
       309	0.00273024	0.00659567	-0.00210154	0.00240812	
       310	0.00273024	0.00273024	0.00111965	0.01464866	
       311	-0.00596698	-0.00339002	-0.00274578	-0.01369784	
       312	-0.00789969	-0.00596698	0.00015329	-0.00532274	
       313	0.00047541	-0.00177943	-0.00467850	-0.00403426	
       314	0.01078323	-0.00822181	0.00466296	-0.00693333	
       315	-0.00177943	-0.00596698	0.00273024	0.00885051	
       316	-0.01079876	-0.00306790	-0.00049095	0.00498508	
       317	-0.00500062	-0.00049095	-0.00049095	0.00079753	
       318	-0.00145731	-0.00145731	0.00015329	0.00176389	
       319	0.00079753	0.00273024	-0.00339002	0.00530720	
       320	-0.00371214	0.01239382	-0.00274578	0.00723991	
       321	-0.00339002	0.00401872	-0.00049095	-0.00210154	
       322	-0.00113519	0.00434084	0.00047541	-0.00113519	
       323	-0.00500062	0.00917263	-0.00306790	-0.00145731	
       324	0.00079753	0.00240812	0.00337448	-0.00532274	
       325	0.00305236	0.00369660	0.00434084	-0.00435638	
       326	0.00144177	0.00498508	0.00015329	0.00820627	
       327	0.00015329	0.00337448	-0.00242366	0.00788415	
       328	0.00047541	-0.00532274	-0.00306790	0.00369660	
       329	-0.00016883	-0.00500062	0.00079753	-0.01434208	
       330	-0.00467850	-0.00339002	-0.00016883	-0.00596698	
       331	-0.00435638	-0.00339002	-0.00081307	-0.00016883	
       332	-0.00306790	-0.00789969	-0.00242366	-0.00467850	
       333	0.00079753	-0.00596698	-0.00049095	-0.00339002	
       334	-0.00274578	0.00015329	-0.00177943	0.01368230	
       335	-0.00113519	-0.00145731	-0.00242366	0.00659567	
       336	-0.00145731	-0.00113519	-0.00210154	-0.00339002	
       337	-0.00049095	-0.00145731	-0.00049095	-0.00210154	
       338	-0.00210154	0.00208601	-0.00371214	0.00079753	
       339	-0.00532274	0.00627356	-0.00145731	0.00144177	
       340	-0.00596698	0.00691779	0.00015329	0.00176389	
       341	0.00337448	-0.00016883	-0.00081307	-0.00210154	
       342	0.00176389	0.00176389	-0.00145731	-0.00339002	
       343	-0.00145731	0.00466296	-0.00306790	-0.00242366	
       344	-0.00177943	0.00466296	0.00208601	-0.00113519	
       345	0.00144177	0.00273024	0.00981687	0.00530720	
       346	0.00305236	-0.00081307	0.00337448	0.00079753	
       347	0.00401872	-0.00113519	-0.00177943	-0.00564486	
       348	0.00176389	-0.00081307	0.00111965	-0.00757757	
       349	-0.00145731	-0.00177943	-0.00081307	-0.00532274	
       350	0.00466296	-0.00371214	-0.00081307	0.00530720	
       351	0.00530720	-0.00403426	-0.00016883	0.00273024	
       352	0.00627356	-0.00532274	-0.00274578	-0.00145731	
       353	0.00176389	-0.00339002	-0.00564486	0.00852839	
       354	-0.00467850	-0.00242366	-0.00628909	0.00144177	
       355	-0.00306790	-0.00177943	0.00079753	-0.00500062	
       356	-0.00403426	-0.00371214	-0.00274578	-0.00339002	
       357	-0.00628909	-0.00242366	-0.00339002	-0.00177943	
