‘ª’èŽžŠÔ	T1Raw	T2Raw	T3Raw	T4Raw	
       104	0.00144177	0.00111965	-0.00564486	0.00627356	
       105	-0.00628909	0.00627356	-0.00628909	0.00788415	
       106	-0.00467850	0.00498508	-0.00339002	0.00401872	
       107	-0.00725545	0.00756203	-0.00371214	0.00305236	
       108	-0.00403426	-0.00016883	-0.00177943	0.00337448	
       109	-0.00339002	-0.00242366	0.00015329	0.00079753	
       110	-0.00789969	0.00176389	-0.00016883	0.00079753	
       111	-0.00500062	0.00111965	0.00015329	-0.00177943	
       112	-0.00274578	0.00015329	-0.00274578	-0.00403426	
       113	-0.00049095	0.00079753	-0.00081307	-0.00145731	
       114	-0.00016883	-0.00339002	0.00047541	-0.00177943	
       115	0.00111965	-0.00210154	0.00047541	-0.00177943	
       116	0.00047541	-0.00113519	-0.00145731	0.00208601	
       117	-0.00016883	-0.00274578	-0.00306790	0.00015329	
       118	0.00176389	-0.00016883	-0.00081307	0.00176389	
       119	0.00176389	-0.00081307	-0.00467850	0.00144177	
       120	0.00337448	0.00079753	-0.00274578	0.00208601	
       121	0.00047541	-0.00210154	-0.00242366	0.00434084	
       122	0.00434084	-0.00306790	0.00208601	-0.00049095	
       123	0.00369660	-0.00242366	0.00047541	-0.00339002	
       124	0.00208601	-0.00016883	-0.00145731	-0.00274578	
       125	0.00369660	-0.00274578	0.00047541	0.00015329	
       126	0.00305236	0.00079753	-0.00049095	-0.00242366	
       127	0.00401872	0.00079753	-0.00081307	-0.00016883	
       128	0.00305236	0.00273024	-0.00145731	-0.00113519	
       129	0.00498508	0.00240812	-0.00081307	0.00079753	
       130	-0.00049095	0.00176389	-0.00210154	0.00079753	
       131	0.00079753	-0.00016883	-0.00242366	-0.00532274	
       132	0.00305236	-0.00435638	-0.00049095	-0.00500062	
       133	-0.00145731	-0.00306790	-0.00081307	-0.00242366	
       134	-0.00693333	-0.00306790	-0.00113519	-0.00177943	
       135	-0.00371214	0.00723991	-0.00306790	-0.00081307	
       136	-0.00306790	0.00659567	-0.00210154	-0.00016883	
       137	0.00015329	0.00176389	-0.00339002	0.00111965	
       138	0.00369660	-0.00049095	-0.00274578	0.00337448	
       139	-0.00145731	-0.00661121	0.00337448	-0.00371214	
       140	-0.00049095	-0.00789969	0.00240812	-0.00177943	
       141	-0.00081307	-0.00177943	0.00208601	-0.00016883	
       142	0.00079753	-0.00049095	-0.00016883	0.00111965	
       143	0.00337448	-0.00177943	0.00273024	0.00144177	
       144	0.00047541	-0.00113519	0.00627356	0.00047541	
       145	0.00466296	-0.00403426	0.00530720	0.00176389	
       146	0.00305236	-0.00210154	0.00498508	-0.01240936	
       147	0.00885051	-0.00145731	-0.00016883	-0.01627479	
       148	0.00627356	-0.00016883	0.00176389	-0.00500062	
       149	-0.00081307	0.00111965	0.00079753	0.00047541	
       150	-0.00854393	0.00434084	-0.00113519	-0.00339002	
       151	-0.00693333	0.00047541	0.00015329	-0.00467850	
       152	-0.00757757	0.00047541	-0.00371214	-0.00854393	
       153	-0.02046234	0.00240812	-0.00242366	0.00595144	
       154	-0.01820751	0.00144177	-0.00339002	0.00530720	
       155	-0.00951029	0.00047541	-0.00049095	0.00466296	
       156	-0.00467850	0.00208601	-0.00210154	0.00369660	
       157	-0.00403426	0.00144177	-0.00596698	0.00466296	
       158	-0.00564486	0.00111965	-0.00500062	0.00659567	
       159	-0.00177943	-0.00113519	0.00015329	0.00627356	
       160	0.00434084	-0.00564486	-0.00177943	0.00723991	
       161	0.00369660	-0.00242366	-0.00016883	0.00434084	
       162	0.00562932	-0.00016883	0.00208601	0.00434084	
